CEP;Número;Qtde NET
64083010;1945;50
64014415;2070;107
64001665;3445;23
64049280;2156;9
64001685;400;
64003000;373;23
64017260;1066;83
64017280;600;23
64001430;575;1
64038050;0;0
64002510;1081;8
64056170;966;1
64053815;1317;
64048440;1131;144
64055148;748;11
64022250;4300;0
64000780;175;3
64017280;1245;16
64048100;1530;15
64052340;1131;7
64000780;155;10
64073505;6100;0
64015310;2055;57
64000120;2185;11
64015300;1850;81
64048162;1001;13
64048380;841;16
64045500;2196;29
64001545;122;2
64046350;743;2
64049300;1522;6
64048360;2255;8
64048480;4355;156
64015467;1960;52
64003680;248;35
64002540;3254;0
64046490;680;5
64048162;1651;6
64053240;120;183
64019550;760;24
64053150;5630;84
64049610;1900;124
64049300;1345;1
64049460;3125;12
64016410;1010;16
64073145;2270;0
64073430;6263;0
64017570;2000;43
64073430;5780;0
64073145;6337;0
64015300;2226;56
64016435;2250;84
64052150;182;4
64049725;1717;12
64018520;124;0
64015050;3248;36
64062220;3710;0
64058820;2106;0
64052160;1365;35
64069430;6760;0
64073020;6065;0
64046190;656;17
64049270;1400;28
64016902;3080;42
64091400;368;0
64050100;3151;25
64052450;1919;
64091210;6080;0
64001360;1030;3
64048065;1905;172
64090095;5857;0
64056648;3643;22
64056500;1173;23
64020190;355;117
64048550;3130;8
64091220;1054;0
64052580;1606;9
64050190;2530;22
64062230;5950;0
64057840;920;0
64069430;6758;0
64069430;6764;0
64062120;5351;0
64069430;6762;0
64090085;0;0
64000430;258;3
64073046;810;0
64055410;2150;11
64063040;3420;0
64050180;2281;18
64073500;6254;0
64056070;860;11
64053400;375;81
64014075;3020;40
64049250;1503;4
64018000;1000;0
64090095;5877;0
64001160;1840;2
64049375;1024;1
64019360;2411;4
64049610;2129;2
64016530;3657;3
64049480;1037;5
64049610;1515;18
64018670;45;5
64017090;975;3
64052902;1415;7
64019362;2548;8
64017630;1846;
64049250;1441;32
64015015;2775;4
64001330;70;0
64014053;820;7
64048385;1819;2
64000916;134;0
64052902;2121;13
64052535;2767;2
64080210;3826;1
64017310;210;
64016070;500;8
64016410;1380;3
64016850;397;
64018500;1365;1
64048385;1220;
64045380;2715;
64020480;376;3
64002450;1350;
64051110;2150;1
64019830;5892;3
64049528;61;
64019550;3042;1
64018535;3176;12
64018630;114;
64048560;4118;0
64022110;1462;2
64000240;1459;4
64001545;2930;6
64049522;1967;
64014058;616;23
64016210;427;1
64000550;750;6
64001110;1040;2
64000280;1267;4
64002490;869;1
64048190;913;2
64001260;2071;11
64001260;2071;
64001430;552;
64049780;1960;9
64050170;2001;1
64001190;374;0
64003073;2973;1
64016700;1575;0
64046350;352;0
64049800;1799;3
64056245;3861;3
64055030;2945;4
64045405;2240;4
64001300;1471;7
64048232;2101;18
64015015;2604;11
64051050;2030;
64049830;1889;0
64001130;1205;1
64018070;1954;6
64049490;900;2
64049790;1260;5
64014325;1380;86
64052465;2038;25
64002750;2247;
64002750;2284;2
64000360;1620;0
64000290;536;0
64049790;967;2
64048400;2655;6
64049250;2331;5
64001120;2240;0
64046170;193;1
64052485;2220;6
64046040;220;2
64002550;999;3
64019050;2195;3
64003400;592;0
64049110;2185;74
64049270;2725;3
64018090;1235;3
64000720;320;6
64016410;2030;1
64049240;2483;3
64014220;1440;3
64023400;1452;1
64002640;2458;2
64000300;1384;11
64015090;681;1
64018670;636;6
64049700;1535;5
64017610;2021;3
64003080;3175;2
64055140;3311;9
64018060;1884;4
64046350;576;2
64019200;1372;11
64001690;290;24
64014047;444;10
64018020;1727;3
64046515;505;5
64046435;595;0
64002226;2450;7
64001400;2770;4
64002490;2299;
64001310;380;1
64049300;1260;16
64048320;665;45
64062005;1111;2
64049793;1208;8
64049270;1605;12
64002095;2560;7
64019020;544;1
64018010;2424;0
64049360;845;2
64018290;2403;1
64018290;2635;4
64056375;3445;0
64049370;1233;5
64049300;1720;7
64049482;1050;3
64045730;3930;
64019500;899;4
64000780;348;3
64016070;1723;4
64016070;1847;2
64016410;610;2
64017230;136;2
64019400;1045;2
64078710;2144;1
64018670;1287;3
64016210;1251;2
64018070;1564;1
64016530;3535;
64016470;931;1
64018030;1889;2
64049820;925;4
64000630;922;2
64000550;636;2
64018520;2437;1
64019362;2570;4
64003420;1806;
64016600;1310;3
64019600;1511;1
64018220;2543;0
64018280;2783;3
64018510;740;1
64016030;2144;
64001340;464;
64016050;467;4
64052790;1393;17
64049280;1415;16
64001550;130;27
64016070;2530;1
64016098;2530;11
64049370;1323;4
64052480;1555;1
64001901;379;0
64045440;2520;2
64045375;1900;3
64001280;3411;19
64001300;1769;2
64052310;890;8
64002170;2480;3
64053190;5655;0
64049110;1881;5
64001545;3100;16
64014058;330;14
64048495;3300;3
64051120;1577;34
64045310;1877;19
64018650;626;
6,40E+13;1518;27
64049250;1100;8
64052445;1820;29
64046240;849;12
64052465;2037;25
64000390;458;1
64073020;880;14
64001260;3343;19
64048320;1909;21
64049280;2841;12
64018070;2668;4
64023380;2082;1
64002180;2100;3
64049280;1829;15
64018650;611;11
64000450;173;4
64000200;1706;2
64001330;953;9
64049190;1425;13
64000430;258;0
64049160;1231;18
64001380;2640;3
64049484;556;63
64049110;2600;30
64049300;1151;11
64048212;783;7
64049532;555;13
64048360;676;27
64049250;1945;17
64049300;1170;
64049300;931;0
64001160;769;2
64049250;1820;15
64001020;2492;0
64001260;3330;17
64045385;149;3
64000080;2074;2
64000190;935;1
64000240;853;3
64000120;1272;5
64000120;1403;2
64001160;2008;3
64001250;362;2
64001280;2223;8
64001430;137;1
64000210;701;3
64000210;821;
64001340;2077;
64000150;411;1
64001230;265;1
64000235;833;3
64018650;735;
64000020;1709;13
64000050;644;8
64016020;1125;
64000080;1999;14
64049494;750;7
64048162;349;20
64001060;1179;0
64001580;2991;
